age,dec,inc,lat,lon
-6550,359.3,55.5,45.75,3
-6150,351.6,69.7,45.75,3
-5690,346,64.7,45.85,10.44
-5690,4.5,65.7,45.85,10.44
-5650,350,65.1,45.75,3
-5510,10.5,58.7,42.3494,3.5092
-5450,6.3,66,48.42,11.6
-5165,8.1,54.4,42.3494,3.5092
-5165,359.9,61,42.3494,3.5092
-5040,335.4,65.6,42.3494,3.5092
-4900,8.9,55,48.43,13
-4900,22.6,61.8,46.18,11.11
-4850,3.5,57.3,46.18,11.11
-4795,17.9,51.3,42.3494,3.5092
-4730,14.5,54.6,42.3494,3.5092
-4730,19,53.3,42.3494,3.5092
-4700,359.1,39.5,46.18,11.11
-4680,22.6,61.8,46.18,11.11
-4660,358.3,40.3,46.18,11.11
-4620,355.8,54.2,46.18,11.11
-4605,353.6,46.5,43.2467,3.4514
-4480,3.2,54.4,42.3494,3.5092
-4480,12.9,42.2,42.3494,3.5092
-4420,345.9,52.4,43.2467,3.4514
-4350,354.3,50.3,43.2467,3.4514
-4345,6.3,51.7,42.3494,3.5092
-4305,350.1,47.4,43.2467,3.4514
-4305,357.8,49.6,43.2467,3.4514
-4247,15.3,42.6,42.3494,3.5092
-4247,336.8,52.8,42.3494,3.5092
-4200,343.5,54.9,43.2467,3.4514
-4060,357.9,56,42.3494,3.5092
-3990,9.4,53.7,42.3494,3.5092
-3990,15.2,56,42.3494,3.5092
-3731,9.1,57.7,48.436,1.509
-3522,15.7,67.9,48.15,10.95
-3522,351.8,64,48.03,10.54
-3400,3.9,60.6,45.75,13.7
-3250,9.9,71.2,51.9,358.4
-2734,1.5,66.9,51.48,12.07
-2450,3.9,62.4,46.18,11.11
-2435,9.3,64.8,43.2467,3.4514
-2435,346.7,54,43.2467,3.4514
-2220,12.9,50.9,42.3481,3.5172
-2105,352,69.7,42.3481,3.5172
-1810,0.3,48.5,40.92,14.3
-1450,352.6,72.2,53.6,0.1
-1350,8.7,70.5,51.1,358.8
-1300,16.8,70.4,51.3,1.4
-1300,6.9,68.8,51.3,1.4
-1300,37.3,78.1,51.3,1.4
-1300,6.8,62.2,51.24,12.33
-1160,-8.3,65.6,45.447,0.854
-1150,11.5,62.9,42.57,11.57
-1150,5.4,61.5,42.57,11.57
-1150,9.9,59.7,42.57,11.57
-1140,0.5,66,47.52,14.83
-1025,28.7,69.7,46.6,6.5
-850,42.9,70.2,51.3,358
-800,18.1,62.9,41.95,15.05
-800,36.6,60.1,45.23,11.47
-800,7.1,63.5,41.41,15.93
-775,29.4,67.7,45.8,3.3
-775,14,65.1,46.2,3.3
-775,27,64.5,44.9,1.5
-775,36.2,62.4,44.9,1.5
-775,19.7,66.7,44.9,1.5
-775,27.4,62.4,44.9,3.6
-750,23.3,69.4,49,5
-750,13.5,70.5,51.48,12.07
-672,30.9,73.6,48.78,6.57
-665,21.8,71.6,48.78,6.57
-660,0,63.1,51.42,14.39
-650,22,73,45.5,3.3
-650,354.8,64.1,52.8,357.3
-650,31,68,51.5,0.4
-612,5.9,67,42.699,2.896
-612,352.7,63.9,45.42,11.88
-585,18.6,66.6,48.78,6.57
-571,0.5,65.8,47.911,4.533
-562,0.5,65.6,43.5,5
-550,6.5,71.1,46.03,13.14
-550,353.3,53.7,41.25,14.17
-525,359.9,74.8,45.97,13.2
-525,0.6,66.4,40.42,16.75
-525,0.6,66.4,40.4,16.8
-500,21.6,69.1,45.5,3.3
-500,9.9,69.5,43.6,3.6
-500,9.6,69.4,43.6,3.6
-500,33.5,65.3,51.2,359.5
-480,10.4,71.1,49,2.2
-455,14,72,53.35,14.27
-450,-2.9,66.8,45.78,4.81
-437,-1.3,64.7,43.33,3.25
-435,1.3,68.7,43.5,5.62
-400,350.4,72.8,56.7,357.2
-375,340.5,65.2,49.16,11.97
-375,357.6,67.9,52,358.8
-350,3.2,63.4,40.4,16.75
-338,347,62,40.42,16.75
-337,347,62,40.4,16.8
-325,353,65.5,50.8,358.6
-325,14.7,53.4,51,0.2
-305,-5.4,66.3,50.375,1.92
-300,357.2,66.4,44.8,0
-300,350.2,63.1,51,0.2
-293,-2.9,64.9,43.691,4.135
-290,-1.3,72.6,50.375,1.92
-285,-9.3,67.5,50.375,1.92
-281,-5.8,65.6,43.297,5.369
-278,5.7,68.9,50.9,358.6
-278,9.6,72.1,53.1,357.3
-275,-2.9,67.7,43.565,3.907
-275,355.6,60.2,40.16,15.17
-275,348.7,61.4,40.42,16.75
-275,348.7,61.4,40.4,16.8
-264,350.4,71.9,52.43,12.89
-250,351.7,71.9,47.23,16.63
-250,357.7,64,47.23,16.63
-250,354,71.8,47.23,16.63
-250,351.5,70.4,53.42,9.71
-236,1.2,69.9,50.45,1.7
-236,-23.4,73.2,50.45,1.7
-235,-8.3,68.8,50.375,1.92
-225,347.3,68,57.3,357.2
-225,-1.1,69.3,50.45,1.7
-225,-4.7,69.7,50.375,1.92
-225,2.7,69.4,51,0.2
-200,358.7,61.7,54.9,357.5
-200,346.8,67.8,47.68,16.62
-195,334.9,69.5,53.07,14.07
-193,8.7,67.2,53.54,13.61
-165,-0.2,69.4,50.45,1.7
-150,359.9,68.8,50.6,357.6
-150,348.3,56.6,57.3,357.5
-150,358.3,57.9,40.39,16.72
-150,358.3,57.9,40.4,16.7
-150,351.5,63.5,42.1,3.1
-150,349.9,65.4,51.4,357.7
-125,346.7,63.9,47.6,7.6
-115,3.6,66.4,43.267,3.5
-100,-0.8,63.2,44.418,0.733
-100,-2.3,67.3,42.98,2.17
-100,-1.8,64.1,42.98,2.17
-100,-6.8,66.1,42.98,2.17
-100,359.8,68,47.68,16.62
-100,2,64.9,51.5,0.4
-100,359.8,70,54.12,11.85
-100,357.6,62.4,44.3,0.3
-100,2.6,64.1,44.3,0.3
-100,353.6,61.5,40.41,16.17
-100,353.1,58,40.42,16.75
-100,4.8,63,41.32,15.63
-95,350.6,63.4,51,0.2
-90,-5.3,66.1,50.08,1.914
-90,357.4,63.5,43.9,1.8
-85,2,71.8,51.3,1
-85,8.1,69.2,51.3,1
-85,8,64.4,51.3,1
-78,3.1,64.9,51.5,0.2
-75,357.5,72.3,51.8,358.6
-75,352.1,65.7,46,3.3
-75,352.1,66.1,51.1,359.4
-75,350.4,64.8,51.2,359.6
-75,7.8,67.2,46.95,4.02
-65,-3.9,65.3,46.95,4.02
-65,2.3,65.3,46.95,4.02
-60,356.3,62.9,44.4,0.2
-55,351.4,65.3,51.1,359.4
-50,6.9,65.1,46.95,4.02
-50,-2.2,65.3,46.41,0.892
-50,358.6,63.4,42.5,11.2
-50,356.2,66.3,42.5,11.2
-50,354.6,63.5,42.5,11.2
-50,358.8,63.2,42.5,11.2
-50,352.5,62.7,42.5,11.2
-50,351.5,63.5,42.12,359.21
-50,356.9,59.4,43.2,1.1
-50,8.9,57.2,51,0.2
-50,346.4,68.8,51,0.2
-50,347.5,64.4,51,0.2
-50,5.7,66.4,51.3,1
-45,-4,69.6,48.62,7.5
-43,4.4,66.3,46.95,4.02
-40,-3.7,65.1,45.716,3.203
-40,1.3,64.6,45.716,3.203
-40,-0.7,66.7,44.934,4.895
-40,353.6,64.3,43.5,6.8
-15,356.8,63.4,44.35,11.2
-12,359.9,62,43.1,2.3
-4,355.8,66.8,51.75,7.2
0,1.2,58.5,41.14,1.07
0,356.4,51.4,40.38,16.78
0,353.2,73.4,56.7,357
5,357.6,63.7,43.3,5.4
10,358.3,62.1,51,0.2
12,357.6,64.5,45.8,3.4
12,358.9,64.5,41.08,1.12
17,358.8,63.5,45.8,3.4
20,355.7,67,46.3,2.7
20,355.8,62.5,46.5,3.9
21,328.8,71.7,52.48,12.99
22,0.4,66.1,51.2,359.6
22,356,68.5,51.8,0.9
25,358.8,62.3,43.9,1.8
25,358.1,65.6,49.5,2.7
30,358.3,68.7,51.2,6.7
36,355.8,55.2,45.47,10.48
37,0.4,64.8,46.93,2.317
37,7.4,62.3,41.48,2.2
37,7.3,61.1,41.48,2.2
40,359.4,64.1,47.3,1.7
40,357.1,66.3,47.3,1.7
40,0.2,65.5,49.4,3
40,355.8,69.7,51.2,6.7
40,348.7,68.5,51.2,6.7
40,352.4,65.7,50.94,6.97
40,350.9,66.7,50.94,6.97
50,358.8,67.4,50.74,7.1
50,357.6,72.3,50.74,7.1
50,359.2,58.4,42.27,357.98
50,357.5,65.7,51.4,6.6
50,356.7,61.4,47.1,0.5
50,357.1,64,49,1.8
50,359.2,58.4,42.27,357.98
50,350.5,58.8,40.73,15.68
50,349,71.2,51.8,358.6
50,0.7,63.4,50.6,357.6
55,353.3,62.5,48.5,7.7
55,356.7,65.1,49.4,3.8
60,359.5,68,51.1,6.8
60,358.6,67.2,53,357.8
62,358,65,49.2,0.7
70,359.3,62.8,51.9,357.8
70,2.7,64.9,51.9,357.8
71,0.8,64.7,51.1,0.1
71,7.5,62.5,51.1,0.1
74,355.7,64,50.7,4.9
75,358.6,61.4,47.8,2.4
75,352.8,63.4,50.6,5.3
75,356.4,56.3,45.6,5.6
75,356.8,63.9,49.4,6.2
75,2,68.2,51.85,5.85
75,2.7,61.9,53.6,359.4
75,359.1,65.6,53.6,359.4
79,358,59.1,40.8,14.5
79,355,59.1,40.8,14.5
79,351.9,57,40.82,14.42
79,348.3,56.8,40.83,14.42
79,1.2,58,40.8,14.5
79,353.9,59.9,40.83,14.42
79,358.5,60.4,40.83,14.42
79,354.1,51.8,40.8,14.5
79,346.6,52.6,40.8,14.5
79,352.9,54.7,40.8,14.5
79,359.2,56.8,40.82,14.4
79,352.5,55.8,40.82,14.4
80,358.6,61,46.6,3.4
80,359.7,63,48.5,1.5
85,355.3,62.6,49.1,6.6
90,357.8,62.5,48.6,3.6
90,9.3,62.5,51.4,358.3
95,1.2,66.2,52.7,0.9
96,358.7,64.4,52.7,0.9
100,351.9,56.2,46.9,16.6
100,355.1,57.6,46.9,16.6
100,2.7,60.5,43.3,2.8
100,358,57.5,43.5,5.9
100,3.5,61.8,48.9,1.1
100,355.3,62.5,50.5,2.6
100,354.5,60.2,47.4,1
100,357,62.4,49.4,6.2
100,355.1,57.6,46.85,16.58
100,349.3,63,46.85,16.58
100,5.6,68.3,52.15,10.42
100,358,67.2,52.3,0.6
100,351,70.4,51.92,358.14
100,11.5,56.1,41.48,2.2
100,350.5,56.7,41.24,1.17
105,0.2,68.2,55,357.2
110,357.5,62.9,49.1,2.3
112,1.2,64.3,50.4,5.4
115,3.6,66.3,52.5,358.4
120,350.5,66.4,52.5,358.4
120,340.2,57.4,42.3481,3.5172
120,0.9,63.4,51.1,0.1
125,358,65.8,52.5,358.4
125,347.5,66.4,52.5,358.4
125,7.8,63.7,50.68,357.91
133,358.3,66.9,52.5,358.4
135,349.4,61.2,49.1,6.6
137,356.6,65.9,54.9,357.5
137,356.1,64.7,54.9,357.5
137,347.8,55.3,41.24,1.17
140,359.4,65.8,54.9,357.5
140,359.4,66.1,54.9,357.5
148,354.8,64.4,52.5,358.4
150,4,59.9,52.5,358.4
150,354.4,65.5,52.7,359.4
150,359.4,58.8,50.7,357.9
150,356.4,66.3,54.4,358.4
150,5.3,54.5,41.17,1.09
150,357,60,47.1,0.5
